"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";"TOLERANCE";"VALUE";"WATTAGE";
"3";".1uF";"CAP";"C0805";"C1, C2, C3";"Capacitor";"";"";"";"";"";"";"";"";"";
"8";"10K Ohms";"P0805Z1002WNT0079";"RESC2013X65N";"R1, R2, R3, R4, R5, R6, R7, R8";"RESISTOR, 0805";"";"P0805Z1002WNT0079";"1791003";"70R0101";"";"Vishay";"± 0.05 %";"10K Ohms";"200mW";
"3";"10uF";"CAP";"C0805";"C6, C7, C8";"Capacitor";"";"";"";"";"";"";"";"";"";
"1";"12Mhz";"CRYSTALHC49UP";"HC49UP";"Q1";"CRYSTAL";"";"";"unknown";"unknown";"";"";"";"";"";
"1";"2.2K Ohms";"P0805Z1002WNT0079";"RESC2013X65N";"R11";"RESISTOR, 0805";"";"P0805Z1002WNT0079";"1791003";"70R0101";"";"Vishay";"± 0.05 %";"10K Ohms";"200mW";
"2";"22pF";"CAP";"C0805";"C4, C5";"Capacitor";"";"";"";"";"";"";"";"";"";
"2";"3.6V";"ZENER";"SOD123";"D1, D2";"Zener Diode";"";"";"";"";"";"";"";"";"";
"1";"5V";"PN87520";"PN87520";"X1";"BERG USB connector";"";"";"unknown";"unknown";"";"";"";"";"";
"2";"68 Ohms";"P0805Z1002WNT0079";"RESC2013X65N";"R9, R10";"RESISTOR, 0805";"";"P0805Z1002WNT0079";"1791003";"70R0101";"";"Vishay";"± 0.05 %";"10K Ohms";"200mW";
"1";"90814-3926";"90814-3926";"MOLEX_90814-3926";"HEADER";"CONN HEADER 26POS 1.27MM SMD GOLD";"";"90814-3926";"1757067";"34R6253";"CONN-26POS";"Molex";"";"";"";
"1";"ATTINY45-20SU";"ATTINY45-20SU";"SOIC127P798X216-8N";"U1";"8-bit Microcontroller with 4 Bytes In-System Programmable Flash";"";"ATTINY45-20SU";"1288353";"23M5073";"SOIC-8";"Atmel";"";"";"";
"3";"MCP3424-E/ST";"MCP3424-E/ST";"SOP65P640X120-14N";"S1-4, S5-8, S9-12";"Analog-to-Digital Converter";"";"MCP3424-E/ST";"1630423";"54M4872";"SOP-14";"Microchip";"";"";"";
