"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";"TOLERANCE";"VALUE";"WATTAGE";
"C1";".1uF";"CAP";"C0805";"Capacitor";"";"";"";"";"";"";"";"";"";
"C2";".1uF";"CAP";"C0805";"Capacitor";"";"";"";"";"";"";"";"";"";
"C3";".1uF";"CAP";"C0805";"Capacitor";"";"";"";"";"";"";"";"";"";
"C4";"22pF";"CAP";"C0805";"Capacitor";"";"";"";"";"";"";"";"";"";
"C5";"22pF";"CAP";"C0805";"Capacitor";"";"";"";"";"";"";"";"";"";
"C6";"10uF";"CAP";"C0805";"Capacitor";"";"";"";"";"";"";"";"";"";
"C7";"10uF";"CAP";"C0805";"Capacitor";"";"";"";"";"";"";"";"";"";
"C8";"10uF";"CAP";"C0805";"Capacitor";"";"";"";"";"";"";"";"";"";
"D1";"3.6V";"ZENER";"SOD123";"Zener Diode";"";"";"";"";"";"";"";"";"";
"D2";"3.6V";"ZENER";"SOD123";"Zener Diode";"";"";"";"";"";"";"";"";"";
"HEADER";"90814-3926";"90814-3926";"MOLEX_90814-3926";"CONN HEADER 26POS 1.27MM SMD GOLD";"";"90814-3926";"1757067";"34R6253";"CONN-26POS";"Molex";"";"";"";
"Q1";"12Mhz";"CRYSTALHC49UP";"HC49UP";"CRYSTAL";"";"";"unknown";"unknown";"";"";"";"";"";
"R1";"10K Ohms";"P0805Z1002WNT0079";"RESC2013X65N";"RESISTOR, 0805";"";"P0805Z1002WNT0079";"1791003";"70R0101";"";"Vishay";"± 0.05 %";"10K Ohms";"200mW";
"R2";"10K Ohms";"P0805Z1002WNT0079";"RESC2013X65N";"RESISTOR, 0805";"";"P0805Z1002WNT0079";"1791003";"70R0101";"";"Vishay";"± 0.05 %";"10K Ohms";"200mW";
"R3";"10K Ohms";"P0805Z1002WNT0079";"RESC2013X65N";"RESISTOR, 0805";"";"P0805Z1002WNT0079";"1791003";"70R0101";"";"Vishay";"± 0.05 %";"10K Ohms";"200mW";
"R4";"10K Ohms";"P0805Z1002WNT0079";"RESC2013X65N";"RESISTOR, 0805";"";"P0805Z1002WNT0079";"1791003";"70R0101";"";"Vishay";"± 0.05 %";"10K Ohms";"200mW";
"R5";"10K Ohms";"P0805Z1002WNT0079";"RESC2013X65N";"RESISTOR, 0805";"";"P0805Z1002WNT0079";"1791003";"70R0101";"";"Vishay";"± 0.05 %";"10K Ohms";"200mW";
"R6";"10K Ohms";"P0805Z1002WNT0079";"RESC2013X65N";"RESISTOR, 0805";"";"P0805Z1002WNT0079";"1791003";"70R0101";"";"Vishay";"± 0.05 %";"10K Ohms";"200mW";
"R7";"10K Ohms";"P0805Z1002WNT0079";"RESC2013X65N";"RESISTOR, 0805";"";"P0805Z1002WNT0079";"1791003";"70R0101";"";"Vishay";"± 0.05 %";"10K Ohms";"200mW";
"R8";"10K Ohms";"P0805Z1002WNT0079";"RESC2013X65N";"RESISTOR, 0805";"";"P0805Z1002WNT0079";"1791003";"70R0101";"";"Vishay";"± 0.05 %";"10K Ohms";"200mW";
"R9";"68 Ohms";"P0805Z1002WNT0079";"RESC2013X65N";"RESISTOR, 0805";"";"P0805Z1002WNT0079";"1791003";"70R0101";"";"Vishay";"± 0.05 %";"10K Ohms";"200mW";
"R10";"68 Ohms";"P0805Z1002WNT0079";"RESC2013X65N";"RESISTOR, 0805";"";"P0805Z1002WNT0079";"1791003";"70R0101";"";"Vishay";"± 0.05 %";"10K Ohms";"200mW";
"R11";"2.2K Ohms";"P0805Z1002WNT0079";"RESC2013X65N";"RESISTOR, 0805";"";"P0805Z1002WNT0079";"1791003";"70R0101";"";"Vishay";"± 0.05 %";"10K Ohms";"200mW";
"S1-4";"MCP3424-E/ST";"MCP3424-E/ST";"SOP65P640X120-14N";"Analog-to-Digital Converter";"";"MCP3424-E/ST";"1630423";"54M4872";"SOP-14";"Microchip";"";"";"";
"S5-8";"MCP3424-E/ST";"MCP3424-E/ST";"SOP65P640X120-14N";"Analog-to-Digital Converter";"";"MCP3424-E/ST";"1630423";"54M4872";"SOP-14";"Microchip";"";"";"";
"S9-12";"MCP3424-E/ST";"MCP3424-E/ST";"SOP65P640X120-14N";"Analog-to-Digital Converter";"";"MCP3424-E/ST";"1630423";"54M4872";"SOP-14";"Microchip";"";"";"";
"U1";"ATTINY45-20SU";"ATTINY45-20SU";"SOIC127P798X216-8N";"8-bit Microcontroller with 4 Bytes In-System Programmable Flash";"";"ATTINY45-20SU";"1288353";"23M5073";"SOIC-8";"Atmel";"";"";"";
"X1";"5V";"PN87520";"PN87520";"BERG USB connector";"";"";"unknown";"unknown";"";"";"";"";"";
